Date,Time,PC0.1_calibrated,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
2025/09/04,19:06:56,588.750000,58875,23550,3401,176,7,0,0,0.05387738,0.63575000,1.02486034,1.18595822,1.21326696,1.22418656,1.22418656
2025/09/04,19:06:57,585.190000,58519,23407,3420,184,7,0,0,0.05355114,0.63190041,1.02316778,1.19169906,1.21900780,1.22992740,1.22992740
2025/09/04,19:06:58,581.780000,58178,23271,3462,197,7,0,0,0.05323928,0.62822052,1.02423820,1.20456519,1.23136440,1.24228400,1.24228400
2025/09/04,19:06:59,578.420000,57842,23136,3505,209,7,0,0,0.05293179,0.62459214,1.02557826,1.21740995,1.24420916,1.25512876,1.25512876
2025/09/04,19:07:00,574.810000,57481,22992,3485,215,7,0,0,0.05260151,0.62069488,1.01941497,1.21693404,1.24373325,1.25465285,1.25465285
2025/09/04,19:07:01,571.050000,57105,22842,3439,219,7,0,0,0.05225734,0.61663366,1.01006218,1.21136247,1.23816168,1.24908128,1.24908128
2025/09/04,19:07:02,567.360000,56736,22694,3400,226,7,0,0,0.05192012,0.61265445,1.00165578,1.20886948,1.23566869,1.24658829,1.24658829
2025/09/04,19:07:03,563.640000,56364,22545,3348,232,7,0,0,0.05157924,0.60863229,0.99158667,1.20393868,1.23099085,1.24191045,1.24191045
2025/09/04,19:07:04,559.880000,55988,22395,3281,236,7,0,0,0.05123539,0.60457490,0.97997156,1.19675177,1.22406051,1.23498011,1.23498011
2025/09/04,19:07:05,555.990000,55599,22239,3181,238,7,0,0,0.05087975,0.60037832,0.96432733,1.18265864,1.21009386,1.21881716,1.21881716
2025/09/04,19:07:06,552.060000,55206,22082,3006,237,7,0,0,0.05052016,0.59613502,0.94006477,1.15739404,1.18482926,1.19135627,1.19135627
2025/09/04,19:07:07,548.350000,54835,21934,2881,240,7,0,0,0.05018067,0.59212908,0.92174326,1.14172268,1.16839180,1.17491881,1.17491881
2025/09/04,19:07:08,545.530000,54553,21821,2936,244,7,0,0,0.04992262,0.58908413,0.92502002,1.14916774,1.17468770,1.18121471,1.18121471
2025/09/04,19:07:09,542.920000,54292,21717,2998,247,6,0,0,0.04968364,0.58626415,0.92926488,1.15570768,1.18046515,1.18699216,1.18699216
2025/09/04,19:07:10,540.180000,54018,21607,2998,246,6,0,0,0.04943286,0.58330501,0.92630574,1.15164950,1.17564086,1.18216787,1.18216787
2025/09/04,19:07:11,537.960000,53796,21518,3089,245,6,0,0,0.04922933,0.58090354,0.93431779,1.15927355,1.18262529,1.18915230,1.18915230
2025/09/04,19:07:12,536.480000,53648,21459,3239,246,6,0,0,0.04909419,0.57930861,0.94984583,1.17583566,1.19829481,1.20482182,1.20482182
2025/09/04,19:07:13,535.270000,53527,21411,3379,248,5,0,0,0.04898334,0.57800065,0.96451771,1.19205864,1.21362521,1.22126583,1.22126583
2025/09/04,19:07:14,534.930000,53493,21397,3620,251,5,0,0,0.04895248,0.57763646,0.99179512,1.22227720,1.24320414,1.25412374,1.25412374
2025/09/04,19:07:15,534.550000,53455,21382,3840,251,5,0,0,0.04891748,0.57722365,1.01654364,1.24692872,1.26785566,1.27877526,1.27877526
2025/09/04,19:07:16,533.360000,53336,21334,3949,250,5,0,0,0.04880841,0.57593664,1.02767368,1.25670166,1.27762860,1.28526922,1.28526922
2025/09/04,19:07:17,532.130000,53213,21285,4065,249,5,0,0,0.04869572,0.57460675,1.03962533,1.26826530,1.28919224,1.29571925,1.29571925
2025/09/04,19:07:18,530.940000,53094,21237,4176,249,5,0,0,0.04858746,0.57332930,1.05108817,1.27972814,1.30065508,1.30718209,1.30718209
2025/09/04,19:07:19,528.910000,52891,21156,4256,249,5,0,0,0.04840122,0.57113183,1.05795907,1.28650204,1.30742898,1.31395599,1.31395599
2025/09/04,19:07:20,525.920000,52592,21037,4273,249,5,0,0,0.04812776,0.56790481,1.05667507,1.28466898,1.30597898,1.31250599,1.31250599
2025/09/04,19:07:21,522.930000,52293,20917,4278,248,5,0,0,0.04785394,0.56467392,1.05409445,1.28128032,1.30259032,1.30911733,1.30911733
2025/09/04,19:07:22,519.660000,51966,20786,4192,244,6,0,0,0.04755494,0.56114564,1.04073841,1.26433707,1.28628669,1.29281370,1.29281370
2025/09/04,19:07:23,516.320000,51632,20653,4083,239,6,0,0,0.04724962,0.55754296,1.02460956,1.24403900,1.26662463,1.27315164,1.27315164
2025/09/04,19:07:24,512.990000,51299,20519,3977,235,6,0,0,0.04694438,0.55394126,1.00891796,1.22404915,1.24727441,1.25380142,1.25380142
2025/09/04,19:07:25,509.460000,50946,20378,3834,229,6,0,0,0.04662154,0.55013172,0.98869233,1.19829811,1.22215938,1.22760371,1.22760371
2025/09/04,19:07:26,505.940000,50594,20237,3696,223,6,0,0,0.04629886,0.54632409,0.96912299,1.17346051,1.19821798,1.19821798,1.19821798
2025/09/04,19:07:27,503.060000,50306,20122,3558,216,7,0,0,0.04603612,0.54322384,0.95025703,1.14881017,1.17420365,1.17420365,1.17420365
2025/09/04,19:07:28,501.190000,50119,20047,3469,211,7,0,0,0.04586420,0.54119514,0.93807733,1.13175021,1.15778331,1.15778331,1.15778331
2025/09/04,19:07:29,499.690000,49969,19987,3415,207,7,0,0,0.04572702,0.53957639,0.93019750,1.11973411,1.14627675,1.14627675,1.14627675
2025/09/04,19:07:30,498.460000,49846,19938,3393,203,7,0,0,0.04561439,0.53824742,0.92638425,1.11278662,1.13958583,1.13958583,1.13958583
2025/09/04,19:07:31,497.720000,49772,19908,3442,206,7,0,0,0.04554685,0.53745043,0.93120208,1.12009262,1.14689183,1.14689183,1.14689183
2025/09/04,19:07:32,497.040000,49704,19881,3500,210,7,0,0,0.04548513,0.53672208,0.93716694,1.13009676,1.15663940,1.15772208,1.15772208
2025/09/04,19:07:33,496.380000,49638,19855,3554,214,7,0,0,0.04542421,0.53600326,0.94260420,1.13921823,1.16563439,1.17216140,1.17216140
2025/09/04,19:07:34,496.330000,49633,19853,3666,218,7,0,0,0.04542010,0.53595466,0.95529577,1.15569102,1.18210718,1.18863419,1.18863419
2025/09/04,19:07:35,496.470000,49647,19858,3789,222,7,0,0,0.04543255,0.53610149,0.96958865,1.17347411,1.19937712,1.20590413,1.20590413
2025/09/04,19:07:36,496.050000,49605,19842,3891,226,7,0,0,0.04539432,0.53565054,0.98079936,1.18791606,1.21381907,1.22034608,1.22034608
2025/09/04,19:07:37,495.120000,49512,19805,3957,229,7,0,0,0.04530916,0.53464571,0.98735225,1.19711909,1.22302210,1.22954911,1.22954911
2025/09/04,19:07:38,493.450000,49345,19738,3988,231,7,0,0,0.04515624,0.53284106,0.98911028,1.20071923,1.22662224,1.23314925,1.23314925
2025/09/04,19:07:39,491.830000,49183,19673,4069,229,7,0,0,0.04500845,0.53109740,0.99654412,1.20640796,1.23231097,1.23883798,1.23883798
2025/09/04,19:07:40,490.950000,49095,19638,4294,229,7,0,0,0.04492750,0.53014214,1.02139656,1.23106640,1.25696941,1.26349642,1.26349642
2025/09/04,19:07:41,490.310000,49031,19612,4550,230,7,0,0,0.04486901,0.52945192,1.04996772,1.26047763,1.28638064,1.29290765,1.29290765
2025/09/04,19:07:42,489.370000,48937,19574,4777,231,7,0,0,0.04478288,0.52843567,1.07486819,1.28686514,1.31276815,1.31929516,1.31929516
2025/09/04,19:07:43,488.700000,48870,19548,5057,234,7,0,0,0.04472206,0.52771782,1.10621901,1.32051013,1.34641314,1.35294015,1.35294015
2025/09/04,19:07:44,488.030000,48803,19521,5286,235,7,0,0,0.04465992,0.52698470,1.13161673,1.34710389,1.37288042,1.37940743,1.37940743
2025/09/04,19:07:45,487.900000,48790,19516,5554,237,7,0,0,0.04464829,0.52684743,1.16214249,1.37966576,1.40518572,1.41171273,1.41171273
2025/09/04,19:07:46,487.720000,48772,19509,5766,238,7,0,0,0.04463229,0.52665865,1.18625065,1.40441999,1.42993995,1.43646696,1.43646696
2025/09/04,19:07:47,487.130000,48713,19485,5876,237,7,0,0,0.04457793,0.52601708,1.19824024,1.41566651,1.44144304,1.44797005,1.44797005
2025/09/04,19:07:48,485.880000,48588,19435,5847,234,7,0,0,0.04446353,0.52466715,1.19354565,1.40828975,1.43419276,1.44183338,1.44183338
2025/09/04,19:07:49,484.520000,48452,19381,5823,231,6,0,0,0.04433950,0.52320376,1.18927496,1.40152997,1.42679697,1.44207822,1.44207822
2025/09/04,19:07:50,482.920000,48292,19316,5758,228,6,0,0,0.04419256,0.52146967,1.18008816,1.38959694,1.41435441,1.43835897,1.43835897
2025/09/04,19:07:51,480.810000,48081,19232,5635,225,6,0,0,0.04399930,0.51918928,1.16377084,1.37050045,1.39449181,1.42397164,1.42397164
2025/09/04,19:07:52,479.300000,47930,19172,5609,225,6,1,0,0.04386147,0.51756288,1.15923214,1.36515371,1.38837897,1.42333407,1.42333407
2025/09/04,19:07:53,477.570000,47757,19103,5552,223,6,1,0,0.04370328,0.51569625,1.15077718,1.35559971,1.37805886,1.41737561,1.41737561
2025/09/04,19:07:54,475.770000,47577,19030,5489,222,5,1,0,0.04353805,0.51374666,1.14170212,1.34539358,1.36696015,1.41063856,1.41063856
2025/09/04,19:07:55,473.880000,47388,18955,5397,220,5,1,0,0.04336531,0.51170841,1.12908073,1.33102708,1.35208050,1.39795520,1.39795520
2025/09/04,19:07:56,472.180000,47218,18887,5364,219,5,1,0,0.04321019,0.50987801,1.12346941,1.32476970,1.34518711,1.39434079,1.39434079
2025/09/04,19:07:57,470.490000,47049,18819,5304,218,5,1,0,0.04305485,0.50804477,1.11483383,1.31477701,1.33557747,1.38361753,1.38361753
2025/09/04,19:07:58,469.310000,46931,18772,5299,217,5,1,0,0.04294730,0.50677586,1.11291866,1.31221487,1.33326829,1.37914299,1.37914299
2025/09/04,19:07:59,468.320000,46832,18733,5323,217,5,1,0,0.04285697,0.50571002,1.11466011,1.31340725,1.33471725,1.37839566,1.37839566
2025/09/04,19:08:00,466.950000,46695,18678,5375,216,6,1,0,0.04273168,0.50423141,1.11911945,1.31728459,1.33897764,1.38045975,1.38045975
2025/09/04,19:08:01,465.250000,46525,18610,5381,215,6,1,0,0.04257549,0.50238860,1.11792702,1.31483206,1.33703464,1.37526871,1.37526871
2025/09/04,19:08:02,464.150000,46415,18566,5484,215,6,1,0,0.04247531,0.50120647,1.12851155,1.32531958,1.34752216,1.38575623,1.38575623
2025/09/04,19:08:03,463.910000,46391,18556,5754,216,6,1,0,0.04245285,0.50094143,1.15912766,1.35729280,1.37949538,1.41553316,1.41553316
2025/09/04,19:08:04,463.810000,46381,18552,6008,217,6,1,0,0.04244358,0.50083182,1.18806531,1.38697351,1.40955914,1.44559692,1.44559692
2025/09/04,19:08:05,463.930000,46393,18557,6386,218,6,1,0,0.04245473,0.50096337,1.23149517,1.43179342,1.45450915,1.48835063,1.48835063
2025/09/04,19:08:06,463.590000,46359,18543,6713,219,6,1,0,0.04242409,0.50060204,1.26849408,1.46963239,1.49234812,1.52618960,1.52618960
2025/09/04,19:08:07,463.240000,46324,18529,7075,220,6,1,0,0.04239177,0.50022070,1.30957715,1.51116844,1.53388417,1.56556029,1.56556029
2025/09/04,19:08:08,462.620000,46262,18504,7291,218,6,0,0,0.04233467,0.49954672,1.33352325,1.53382150,1.55704676,1.58760927,1.58760927
2025/09/04,19:08:09,462.460000,46246,18498,7581,218,6,0,0,0.04231997,0.49937320,1.36660604,1.56680728,1.59003254,1.61951237,1.61951237
2025/09/04,19:08:10,462.750000,46275,18510,7976,225,6,0,0,0.04234718,0.49969446,1.41205939,1.61853002,1.64175528,1.67015243,1.67015243
2025/09/04,19:08:11,462.410000,46241,18496,8211,232,6,0,0,0.04231583,0.49932456,1.43857560,1.65157459,1.67518290,1.70246644,1.70246644
2025/09/04,19:08:12,462.140000,46214,18485,8464,239,6,0,0,0.04229143,0.49903666,1.46722594,1.68639732,1.71000563,1.73620649,1.73620649
2025/09/04,19:08:13,461.690000,46169,18467,8567,245,6,0,0,0.04224952,0.49854190,1.47850196,1.70281165,1.72667292,1.74959480,1.74959480
2025/09/04,19:08:14,461.460000,46146,18458,8721,251,6,0,0,0.04222932,0.49830356,1.49586323,1.72634531,1.75046315,1.77338503,1.77338503
2025/09/04,19:08:15,461.470000,46147,18458,8846,259,6,0,0,0.04222964,0.49830739,1.51022712,1.74762465,1.77174249,1.79358169,1.79358169
2025/09/04,19:08:16,461.450000,46145,18458,8934,266,6,0,0,0.04222802,0.49828830,1.52027016,1.76409905,1.78821689,1.80677712,1.80677712
2025/09/04,19:08:17,460.960000,46096,18438,8926,271,6,0,0,0.04218359,0.49776397,1.51877232,1.76748055,1.79172487,1.81028510,1.81028510
2025/09/04,19:08:18,459.430000,45943,18377,8684,268,6,0,0,0.04204356,0.49611183,1.48946245,1.73513345,1.75989092,1.77736847,1.77736847
2025/09/04,19:08:19,457.730000,45773,18309,8421,263,6,0,0,0.04188773,0.49427286,1.45749771,1.69828845,1.72355545,1.73775402,1.73775402
2025/09/04,19:08:20,455.850000,45585,18234,8199,258,7,0,0,0.04171522,0.49223746,1.43008685,1.66638625,1.69216278,1.70636135,1.70636135
2025/09/04,19:08:21,454.370000,45437,18175,8154,255,7,0,0,0.04158024,0.49064446,1.42341640,1.65767969,1.68358270,1.69778127,1.69778127
2025/09/04,19:08:22,453.030000,45303,18121,8187,254,7,0,0,0.04145711,0.48919156,1.42574431,1.65871456,1.68474766,1.69674994,1.69674994
2025/09/04,19:08:23,451.190000,45119,18047,8089,251,7,0,0,0.04128913,0.48720956,1.41253279,1.64256281,1.66897897,1.67989857,1.67989857
2025/09/04,19:08:24,449.900000,44990,17996,8153,249,7,0,0,0.04117101,0.48581578,1.41848272,1.64712269,1.67353885,1.68445845,1.68445845
2025/09/04,19:08:25,449.060000,44906,17962,8349,249,7,0,0,0.04109403,0.48490727,1.43992413,1.66811204,1.69452820,1.70544780,1.70544780
2025/09/04,19:08:26,448.230000,44823,17929,8524,249,7,0,0,0.04101777,0.48400732,1.45910795,1.68729586,1.71371202,1.72463162,1.72463162
2025/09/04,19:08:27,447.360000,44736,17894,8661,249,7,0,0,0.04093866,0.48307399,1.47383132,1.70172823,1.72814439,1.73906399,1.73906399
2025/09/04,19:08:28,446.210000,44621,17848,8627,247,7,0,0,0.04083379,0.48183655,1.46870796,1.69495676,1.72175597,1.73267557,1.73267557
2025/09/04,19:08:29,444.570000,44457,17782,8391,242,7,0,0,0.04068297,0.48005670,1.43993288,1.66194749,1.68899966,1.69880564,1.69880564
2025/09/04,19:08:30,442.500000,44250,17700,7998,235,7,0,0,0.04049365,0.47782301,1.39267210,1.60796526,1.63552696,1.64205397,1.64205397
2025/09/04,19:08:31,440.420000,44042,17617,7629,228,7,0,0,0.04030389,0.47558363,1.34832216,1.55718396,1.58525881,1.59178582,1.59178582
2025/09/04,19:08:32,437.820000,43782,17512,7137,220,7,0,0,0.04006546,0.47277033,1.28914313,1.49054042,1.51899832,1.52552533,1.52552533
